year,q_no,category,topic,question,choice1,choice2,choice3,choice4,explanation,difficulty,tags
2024,1,権利関係,民法/法律行為,法律行為に関する次の記述のうち、民法の規定によれば、正しいものはどれか。,営業を許された未成年者が、その営業に関する意思表示をした時に意思能力を有しなかっ た場合は、その法律行為は無効である。,公の秩序に反する法律行為であっても、当事者が納得して合意した場合には、その法律行 為は有効である。,詐欺による意思表示は取り消すことによって初めから無効であったとみなされるのに対し、 強迫による意思表示は取り消すまでもなく無効である。,他人が所有している土地を目的物にした売買契約は無効であるが、当該他人がその売買契 約を追認した場合にはその売買契約は有効となる。,【結論】正解A（1）。 / 【根拠】意思能力を欠く意思表示は無効。営業許可と意思能力は別概念。,3,R6;権利関係;民法/法律行為
2024,2,権利関係,民法/委任・準委任,"委任契約・準委任契約に関する次の記述のうち、民法の規定及び判例によれば、
誤っているものはどれか。",売主が、売買契約の付随義務として、買主に対して、マンション専有部分内の防火戸の操 作方法につき説明義務を負う場合、業務において密接な関係にある売主から委託を受け、売 主と一体となって当該マンションの販売に関する一切の事務を行っていた宅地建物取引業者 も、買主に対して、防火戸の操作方法について説明する信義則上の義務を負うことがある。,受任者は、委任者の許諾を得たとき、又はやむを得ない事由があるときでなければ、復受 任者を選任することができない。,委任契約で本人が死亡しても代理権が消滅しない旨を合意して代理人に代理権を与えた場 合、本人が死亡しても代理権は消滅しない。,委任は、当事者の一方が仕事を完成することを相手方に約し、相手方がその仕事の結果に 対しその報酬を支払うことを約さなければ、その効力を生じない。,【結論】正解D（4）※「誤り」。  / 【根拠】完成を約するのは請負、委任は事務処理。,3,R6;権利関係;民法/委任・準委任
2024,3,権利関係,民法/共有,"甲土地につき、Ａ、Ｂ、Ｃ、Ｄの 4 人がそれぞれ 4 分の 1 の共有持分を有してい
て、Ａ、Ｂ、ＣのいずれもＤの所在を知ることができない場合に関する次の記述のうち、民法
の規定及び判例によれば、正しいものはどれか。
なお、Ｄの共有持分は、相続財産には属して
いないものとする。",甲土地に、その形状又は効用の著しい変更を伴う変更を加える場合には、共有者の過半数 の同意が必要であり、本件ではＡ、Ｂ、Ｃ 3 人の同意が必要となる。,甲土地の所有 権の登記名義人となっている者が所有者ではないＥである場合、持分に基づ いてＥに対して登記の抹消を求めるためには、所在が判明しているＡ、Ｂ、Ｃのうち 2 人の 同意が必要である。,Ａ、Ｂ、Ｃ 3 人の同意があれば、甲土地を資材置場として賃借したいＦとの間で期間を 3 年とする賃貸借契約を締結することができる。,Ａが裁判所に請求して、裁判所がＤの持分をＡに取得させる旨の決定をした場合、Ｄは、 その決定から 3 年以内に限り、Ａが取得したＤの共有持分の時価相当額をＡに対して支払う よう請求することができる。,【結論】正解C（3）。 / 【根拠】賃貸借3年は「管理行為」＝持分過半で決定可。,3,R6;権利関係;民法/共有
2024,4,権利関係,民法/契約と相続,"Ａを売主、Ｂを買主として甲土地の売買契約（以下この問において「本件契約」
という。）が締結された直後にＡが死亡し、ＣがＡを単独相続した場合における次の記述のう
ち、民法の規定によれば、正しいものはどれか。",売買代金を受領したＣが甲土地の引渡しを拒絶する意思を明確に表示したとしても、Ｂは、 Ｃに対して相当の期間を定めた催告をしなければ、本件契約を解除することができない。,Ｂが期日までに売買代金を支払わない場合であっても、本件契約の解除権はＡの一身に専 属した権利であるため、Ｃは本件契約を解除することはできない。,Ｂは、売買代金が支払い済みだったとしても、甲土地の所有権登記を備えなければ、Ｃに 対して甲土地の引渡しを請求することはできない。,本件契約が、Ａの詐欺により締結されたものである場合、ＢはＣに対して、本件契約の取 消しを主張することができる。,【結論】正解D（4）。 / 【根拠】詐欺取消しの抗弁は相続人へ承継。,3,R6;権利関係;民法/契約と相続
2024,5,権利関係,民法/履行遅滞,"履行遅滞に関する次の記述のうち、民法の規定及び判例によれば、正しいものは
どれか。",不法行為の加害者は、不法行為に基づく損害賠償債務について、履行の請求を受けた時か ら遅滞の責任を負う。,善意の受益者は、その不当利得返還債務について、履行の請求を受けた時から遅滞の責任 を負う。,請負人の報酬債権に対して、注文者がこれと同時履行の関係にある目的物の瑕 疵 修補に代 わる損害賠償債権を自働債権とする相殺の意思表示をした場合、注文者は、請負人に対する 相殺後の報酬残債務について、当該残債務の履行の請求を受けた時から遅滞の責任を負う。,債務の履行について不確定期限があるときは、債務者は、その期限の到来したことを知っ た後に履行の請求を受けた時から遅滞の責任を負う。,【結論】正解B（2）。 / 【根拠】善意受益者の遅滞＝請求時から。,3,R6;権利関係;民法/履行遅滞
2024,6,権利関係,民法/地上権と混同,"Ａの所有する甲土地にＢを地上権者とする地上権（以下この問において「本件地
上権」という。）が設定され、その旨の登記がされた後に、甲土地にＣを抵当権者とする抵当
権が設定され、その旨の登記がされた場合における次の記述のうち、民法の規定によれば、正
しいものはいくつあるか。
ア　ＢがＡとの売買契約に基づき、甲土地の所有権を取得したときは、本件地上権は消滅する。
イ　Ａが死亡してＢがＡを単独相続し、甲土地の所有権を取得したときは、本件地上権は消滅
する。
ウ　ＢがＡとの代物弁済契約に基づき、甲土地の所有権を取得したときは、本件地上権は消滅
する。
エ　ＢがＡとの贈与契約に基づき、甲土地の所有権を取得したときは、本件地上権は消滅する。",一つ,二つ,三つ,なし,【結論】正解D（4）＝「なし」。  / 【根拠】地上権→のち抵当権の順では、地上権者が所有権取得しても抵当権者保護で混同消滅しない。,3,R6;権利関係;民法/地上権と混同
2024,7,権利関係,民法/賃貸借と占有,"Ａを貸主、Ｂを借主として甲建物の賃貸借契約（以下この問において「本件契
約」という。）が締結され、Ｂが甲建物の引渡しを受けた場合における次の記述のうち、民法
の規定及び判例によれば、正しいものはどれか。",ＣがＢに対し甲建物をＡから買受けたとの虚偽の話をしたので、これを信じたＢが甲建物 の占有を任意にＣに移転した場合、ＡはＣに対して、占有回収の訴えにより甲建物の返還を 請求することはできない。,Ｂが、Ａの甲建物への立ち入りを建物入り口を閉ざして拒んだときは、Ａは甲建物の間接 占有が侵奪されたものとして、Ｂに対して、占有回収の訴えにより甲建物の返還を請求する ことができる。,Ｂが死亡して、ＤがＢを単独相続した場合、Ｄは相続開始を知るまでは、Ｂによる甲建物 の占有を承継しない。,ＡとＢのいずれもが死亡した場合、本件契約は当然に終了する。,【結論】正解A（1）。 / 【根拠】占有回収の訴えは“侵奪”が要件。賃借人が任意に第三者へ渡した場合は不可。,3,R6;権利関係;民法/賃貸借と占有
2024,8,権利関係,民法/条文知識,次の記述のうち、民法の条文として規定されていないものはどれか。,隔地者間の契約は、承諾の通知を発した時に成立する。,無効な行為に基づく債務の履行として給付を受けた者は、相手方を原状に復させる義務を 負う。,代理人が自己又は第三者の利益を図る目的で代理権の範囲内の行為をした場合において、 相手方がその目的を知り、又は知ることができたときは、その行為は、代理権を有しない者 がした行為とみなす。,未成年者が法律行為をするには、その法定代理人の同意を得なければならない。ただし、 単に権利を得、又は義務を免れる法律行為については、この限りでない。,【結論】正解A（1）。 / 【根拠】隔地者の発信主義の明文は削除、一般原則で処理。,3,R6;権利関係;民法/条文知識
2024,9,権利関係,民法/承諾と債務引受,承諾に関する次の記述のうち、民法の規定によれば、正しいものはどれか。,第三者が債務者との間で、債務者の債務につき免責的債務引受契約をする場合、債権者の 承諾は不要である。,第三者が債務者との間で、債務者の債務につき併存的債務引受契約をした場合、債権者が 第三者に承諾をした時点で、その効力が生ずる。,第三者が債権者との間で、債務者の債務につき併存的債務引受契約をした場合、債務者が 第三者に承諾をした時点で、その効力が生ずる。,賃借人が賃貸借契約の目的物を第三者に転貸する場合、賃貸人の承諾は不要である。,【結論】正解B（2）。 / 【根拠】併存的債務引受は“債権者の第三者への承諾”で効力発生。,3,R6;権利関係;民法/承諾と債務引受
2024,10,権利関係,民法/契約不適合,"売買契約の目的物が品質に関して契約の内容に適合しない場合において、当該契
約不適合が売主及び買主のいずれの責めにも帰することができない事由によるものであるとき、
履行の追完請求権、代金の減額請求権、損害賠償請求権及び契約の解除権のうち、民法の規定
によれば、買主が行使することができない権利のみを掲げたものとして正しいものは次の記述
のうちどれか。
なお、上記帰責性以外の点について、権利の行使を妨げる事情はないものとす
る。",履行の追完請求権、損害賠償請求権、契約の解除権,代金の減額請求権、損害賠償請求権、契約の解除権,履行の追完請求権、代金の減額請求権,損害賠償請求権,【結論】正解D（4）。 / 【根拠】契約不適合が無過失なら損害賠償は不可（帰責性要）。追完・減額・解除は要件充足なら可能。,3,R6;権利関係;民法/契約不適合
2024,11,法令上の制限,借地借家法/借地,"建物の所有を目的とする土地の賃貸借契約（一時使用目的の借地契約を除く。）
に関する次の記述のうち、借地借家法の規定によれば、正しいものはどれか。",専ら事業の用に供する建物（居住の用に供するものを除く。）の所有を目的とし、存続期 間を 20 年として借地権を設定する場合、建物買取請求権の規定は適用されず、また、その 契約は、公正証書による等書面によってしなければならない。,居住の用に供する建物の所有を目的として借地権を設定する場合において、借地権を消滅 させる目的で、その設定後 30 年を経過した日に借地権の目的である土地の上の建物を借地 権設定者に相当の対価で譲渡する旨の特約を定めても、この特約は無効である。,借地権を設定する場合において、存続期間を定めなかったときは、その期間は 30 年とな る。,当事者が借地権の設定後に最初に借地契約を更新する場合において、存続期間を定めな かったときは、その期間は更新の日から 10 年となる。,【結論】正解C（3）。 / 【根拠】期間未定の借地は30年。,3,R6;法令上の制限;借地借家法/借地
2024,12,法令上の制限,借地借家法/建物賃貸借,"賃貸人Ａと賃借人Ｂとが、居住目的で期間を 3 年として、借地借家法第 38 条の
定期建物賃貸借契約（以下この問において「契約①」という。
）を締結した場合と、定期建物
賃貸借契約でも一時使用目的の賃貸借契約でもない普通建物賃貸借契約（以下この問において
「契約②」という。
）を締結した場合とに関する次の記述のうち、借地借家法の規定によれば、
正しいものはどれか。",Ｂが建物の引渡しを受けた後にＡが建物をＣに売却して建物所有者がＣに変わった場合、 Ｂは、契約①の場合ではＣに対して賃借人であることを主張できるが、契約②の場合ではＣ に対して賃借人であることを主張できない。,契約期間中は賃料の改定を行わない旨の特約を契約において定めていても、契約期間中に 賃料が不相当になったと考えるに至ったＢは、契約①の場合も契約②の場合も、借地借家法 第 32 条に基づく賃料減額請求をすることができる。,Ｂが契約期間中に相続人なしで死亡した場合において、婚姻はしていないが事実上夫婦と 同様の関係にあった同居者Ｄがあるときは、契約①の場合も契約②の場合も、Ａに反対の意 思表示をしないＤは、建物の賃貸借契約に関し、Ｂの権利義務を承継する。,契約①の場合、公正証書によって契約をするときに限り契約の更新がないことを有効に定 めることができ、契約②の場合、書面で契約し、かつ、Ａに正当な理由がない限り、Ａは契 約の更新を拒絶することができなくなる。,【結論】正解C（3）。 / 【根拠】同居の事実婚パートナーは承継し得る（要件あり）。,3,R6;法令上の制限;借地借家法/建物賃貸借
2024,13,法令上の制限,区分所有法,"建物の区分所有等に関する法律に関する次の記述のうち、誤っているものはどれ
か。",各共有者の共用部分の持分は、規約に別段の定めがない限り、共有者数で等分することと されている。,規約及び集会の決議は、区分所有者の特定承継人に対しても、その効力を生ずる。,管理者は、集会において、毎年 1 回一定の時期に、その事務に関する報告をしなければな らない。,集会の招集の通知は、区分所有者が管理者に対して通知を受けるべき場所を通知しなかっ たときは区分所有者の所有する専有部分が所在する場所にあててすれば足りる。この場合に は、集会の招集の通知は、通常それが到達すべき時に到達したものとみなされる。,【結論】正解A（1）※誤り。 / 【根拠】共用部分の持分＝床面積比例（等分ではない）。,3,R6;法令上の制限;区分所有法
2024,14,法令上の制限,不動産登記法,"不動産の登記に関する次の記述のうち、不動産登記法の規定によれば、誤ってい
るものはどれか。",買戻しの特約に関する登記がされている場合において、契約の日から 10 年を経過したと きは、登記権利者は、単独で当該登記の抹消を申請することができる。,不動産の収用による所有権の移転の登記は、起業者が単独で申請することができる。,相続人ではない者に対する遺贈による所有権の移転の登記は、登記権利者が単独で申請す ることができる。,登記名義人の住所についての変更の登記は、登記名義人が単独で申請することができる。,【結論】正解C（3）※誤り。 / 【根拠】遺贈（受遺者）による所有権移転登記は原則“共同申請”。,3,R6;法令上の制限;不動産登記法
2024,15,法令上の制限,都市計画法,都市計画法に関する次の記述のうち、誤っているものはどれか。,都市計画区域外においても、特に必要があるときは、都市施設に関する都市計画を定める ことができる。,準都市計画区域については、用途地域が定められている土地の区域であっても、市街地開 発事業に関する都市計画を定めることができない。,用途地域の一つである準住居地域は、道路の沿道としての地域の特性にふさわしい業務の 利便の増進を図りつつ、これと調和した住居の環境を保護するために定める地域である。,地区計画は、用途地域が定められている土地の区域についてのみ都市計画に定められるも のであり、また、地区計画に関する都市計画を定めるに当たっては、地区整備計画を都市計 画に定めなければならない。,【結論】正解D（4）※誤り。 / 【根拠】地区計画は用途地域の有無を問わず定め得る。,3,R6;法令上の制限;都市計画法
2024,16,法令上の制限,都市計画法,"都市計画法（以下この問において「法」という。
）に関する次の記述のうち、正
しいものはどれか。
ただし、この問において条例による特別の定めはないものとし、「都道府
県知事」とは、地方自治法に基づく指定都市、中核市及び施行時特例市にあってはその長をい
うものとする。","市街化区域内において行う、医療法に規定する病院を建築するための 1,000 m2 の開発行 為については、法第 29 条に基づく都道府県知事の許可を得る必要がある。","市街化区域内において行う、開発行為を伴わない建築物の建築で、当該建築物の床面積が 1,000 m2 以上のものについては、法第 29 条に基づく都道府県知事の許可を得る必要がある。",市街化調整区域内において行う、都市計画事業の施行のための開発行為については、法第 29 条に基づく都道府県知事の許可を得る必要がある。,法第 29 条に基づく許可を受けた者は、当該許可に係る土地についての一定の事項を開発 登録簿に登録しなければならない。,"【結論】正解A（1）。 / 【根拠】市街化区域内で病院建設のための1,000㎡規模の開発行為は許可対象。",3,R6;法令上の制限;都市計画法
